English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example,English source URL,Vietnamese source URL
hydroperinephrosis,tích dịch quanh thận,n," Hydroperinephrosis, the accumulation of fluid in the perinephric space, can occur secondary to renal inflammation or trauma. "," Tích dịch quanh thận, sự tích tụ dịch trong khoang quanh thận, có thể xảy ra thứ phát sau viêm hoặc chấn thương thận.",CT indicated pronounced left hydroperinephrosis and thickening in the perirenal tissues and left upper ureteral wall .,Nghĩa của từ Chứng tích dịch quanh thận - Từ điển Việt - Anh Từ ngày 06/12/2011 Tra từ sử dụng VietId đăng nhập.,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3857980/,http://tratu.soha.vn/dict/vn_en/Ch%E1%BB%A9ng_t%C3%ADch_d%E1%BB%8Bch_quanh_th%E1%BA%ADn
acorea,không đồng tử,n, Acorea is the absence of a pupil in the eye. , Không đồng tử là sự vắng mặt của đồng tử trong mắt.,"Acorea, microphthalmia and cataract syndrome - Wikipedia We owe you an explanation.",UNOBSERVED,"https://en.wikipedia.org/wiki/Acorea,_microphthalmia_and_cataract_syndrome",
hepatonephritis,viêm gan thận,n, Hepatonephritis is inflammation of both the liver and the kidneys. , Viêm gan thận là tình trạng viêm cả gan và thận.,"Interestingly, the French physician, Merklen PJ, in 1916 described a “similar disease”, called acute hepatonephritis, in 15 patients with acute hepatic failure, jaundice, and ascites who developed an “acute nephritis” evidenced by an oliguria that rapidly progressed to anuria and, later on, in 1937, this disease was subdivided in a “simple” and a “chronic” type.",UNOBSERVED,https://pmc.ncbi.nlm.nih.gov/articles/PMC11755242/,
paralgesic,loạn cảm đau,a, The paralgesic state made even light touch feel uncomfortable for the patient. , Tình trạng loạn cảm đau khiến ngay cả việc chạm nhẹ cũng gây khó chịu cho bệnh nhân.,"PARALGESIC Definition & Meaning - Merriam-Webster ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!",Loạn cảm đau allodynia có thể là triệu chứng của một số bệnh lý thần kinh hoặc nó xuất hiện một cách đơn độc và tính chất đau cấp tính .,https://www.merriam-webster.com/dictionary/paralgesic,https://www.vinmec.com/vie/bai-viet/loan-cam-dau-allodynia-la-gi-vi
magnesemia,magnesi huyết,," Hypomagnesemia, a low level of magnesemia, can cause muscle cramps and weakness. "," Giảm magiê huyết, một mức độ thấp của magnesi huyết, có thể gây ra chuột rút và yếu cơ.",Main clinical conditions associated with hypomagnesemia and hypermagnesemia 8 The prevalence of hypomagnesemia was reported to vary from 7% to 11% in hospitalized patients but from 20% to 65% in critically ill patients .,Cận lâm sàng Magnesi huyết thanh: là xét nghiệm chính để chẩn đoán.,https://stm.cairn.info/revue-magnesium-research-2021-1-page-1,https://thuvienbenh.com/ha-phosphat-mau/
wart,mụn cóc,n, The podiatrist treated the plantar wart on the patient's foot. , Bác sĩ chuyên khoa chân đã điều trị mụn cóc ở lòng bàn chân của bệnh nhân.,"Warts: How To Identify, Causes, Types, Treatment & Prevention Home / Health Library / Diseases & Conditions / Warts Advertisement Advertisement Warts Warts are skin growths that develop due to strains of the human papillomavirus .",Căn nguyên | Triệu chứng và Dấu hiệu | Chẩn đoán | Điều trị | Tiên lượng | Phòng ngừa | Những điểm chính | Đa phương tiện | Mụn cóc gần như phổ biến trong dân số; mụn cóc ảnh hưởng đến bệnh nhân ở mọi lứa tuổi nhưng phổ biến nhất ở trẻ em và không phổ biến ở người cao tuổi.,https://my.clevelandclinic.org/health/diseases/15045-warts,https://www.msdmanuals.com/vi/professional/r%E1%BB%91i-lo%E1%BA%A1n-da-li%E1%BB%85u/b%E1%BB%87nh-da-do-virus/m%E1%BB%A5n-c%C3%B3c
liposuction,hút mỡ,n,  Liposuction is a cosmetic surgery procedure that removes excess fat deposits from specific areas of the body.  ,  Hút mỡ (liposuction) là một thủ thuật phẫu thuật thẩm mỹ loại bỏ mỡ thừa tích tụ ở các vùng cụ thể của cơ thể.,"Liposuction: What It Is, Surgery, Recovery & Results Home / Health Library / Medical Treatments / Liposuction Advertisement Advertisement Liposuction Liposuction is a cosmetic surgery procedure that removes unwanted fat deposits from your body.",Hút mỡ có mang lại kết quả có vĩnh viễn không?,https://my.clevelandclinic.org/health/treatments/11009-liposuction,https://www.vinmec.com/vie/bai-viet/nhung-dieu-nen-biet-khi-hut-mo-liposuction-vi
typhoidal,giống thương hàn,a," The patient's persistent high fever, abdominal discomfort, and relative bradycardia raised suspicion for a typhoidal illness, prompting blood cultures to confirm or exclude typhoid fever. "," Sốt cao dai dẳng, khó chịu ở bụng và nhịp tim chậm tương đối của bệnh nhân làm dấy lên nghi ngờ về một bệnh giống thương hàn, thúc đẩy việc cấy máu để xác nhận hoặc loại trừ bệnh thương hàn.","TYPHOIDAL Definition & Meaning | Merriam-Webster Medical ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!",Phân biệt chứng Thương hàn và các chứng khác giống Thương hàn Giới thiệu Đăng nhập / Đăng ký Trang chủ Y Dược học Thông tin y học Cập nhật lúc: 13:24 - 01/12/2021 Phân biệt chứng Thương hàn và các chứng khác giống Thương hàn | Giới thiệu Thương hàn là một chứng bệnh do sự cảm nhiễm phải khí hàn mùa đông mà sinh ra.,https://www.merriam-webster.com/medical/typhoidal,https://tradimed.org/phat-trien-y-hoc-dan-toc-ban-dia/thong-tin-y-hoc/phan-biet-chung-thuong-han-va-cac-chung-khac-giong-thuong-han.html
metoserpate hydrochloride,thuốc an thần cho gia cầm,n,"  Metoserpate hydrochloride was investigated as an antihypertensive and tranquilizing agent, particularly in poultry.  ","  Metoserpate hydrochloride, một thuốc an thần cho gia cầm, đã được nghiên cứu như một chất chống tăng huyết áp và an thần, đặc biệt là ở gia cầm.","Kingdom Organic compounds Super Class Alkaloids and derivatives Class Yohimbine alkaloids Sub Class Not Available Direct Parent Yohimbine alkaloids Alternative Parents Corynanthean-type alkaloids / Beta carbolines / 3-alkylindoles / Anisoles / Alkyl aryl ethers / Aralkylamines / Piperidines / Pyrroles / Methyl esters / Heteroaromatic compounds / Trialkylamines / Amino acids and derivatives / Monocarboxylic acids and derivatives / Dialkyl ethers / Azacyclic compounds / Hydrocarbon derivatives / Organic oxides / Organopnictogen compounds / Carbonyl compounds show 9 more Substituents 3-alkylindole / Alkyl aryl ether / Amine / Amino acid or derivatives / Anisole / Aralkylamine / Aromatic heteropolycyclic compound / Azacycle / Benzenoid / Beta-carboline / Carbonyl group / Carboxylic acid derivative / Carboxylic acid ester / Corynanthean skeleton / Dialkyl ether / Ether / Heteroaromatic compound / Hydrocarbon derivative / Indole / Indole or derivatives / Methyl ester / Monocarboxylic acid or derivatives / Organic nitrogen compound / Organic oxide / Organic oxygen compound / Organoheterocyclic compound / Organonitrogen compound / Organooxygen compound / Organopnictogen compound / Piperidine / Pyridoindole / Pyrrole / Tertiary aliphatic amine / Tertiary amine / Yohimbine / Yohimbine alkaloid show 26 more Molecular Framework Aromatic heteropolycyclic compounds External Descriptors Not Available Affected organisms Not Available Chemical Identifiers UNII X3G4L02XQU CAS number 1178-28-5 InChI Key FPGCYQVKNKEGRQ-SXLQGMKLSA-N InChI InChI=1S/C24H32N2O5/c1-28-14-5-6-15-16-7-8-26-12-13-9-20232131-4)1711-192225-1810-14/h5-6,10,13,17,19-21,23,25H,7-9,11-12H2,1-4H3/t13-,17+,19-,20+,21+,23+/m1/s1 IUPAC Name methyl -6,17,18-trimethoxy-3,13-diazapentacyclohenicosa-2,4,5,7-tetraene-19-carboxylate SMILES 12COC)1C1N=C1)C2 References General References Reynolds WA, Maplesden DC: Metoserpate Hydrochloride for the treatment of hysteria in replacement pullets.",UNOBSERVED,https://go.drugbank.com/drugs/DB11530,
isoantibody,đồng loại kháng thể,n,  An isoantibody is an antibody produced by an individual against antigens of another individual of the same species.  ,  Đồng loại kháng thể (isoantibody) là một kháng thể được tạo ra bởi một cá thể chống lại các kháng nguyên của một cá thể khác cùng loài.,"Isoantigens [ edit ] A protein or other substance, such as histocompatibility or red blood cell antigens, that is present in only some members of a species and therefore able to stimulate isoantibody production in other members of the same species who lack it.",UNOBSERVED,https://en.wikipedia.org/wiki/Isoantibodies,
oophorocystosis,hình thành u nang buồng trúng,n,  Oophorocystosis refers to the condition of having multiple ovarian cysts. ,  Hình thành u nang buồng trúng (Oophorocystosis) đề cập đến tình trạng có nhiều u nang buồng trứng.,oophorocystosis en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary oophorocystosis oophorocystosis Ovarian cyst formation .,UNOBSERVED,https://medicine.en-academic.com/35690/oophorocystosis,
Rhodococcus bronchialis,vi khuẩn Rhodococcus bronchialis,,  Rhodococcus bronchialis is a species of bacteria that has been isolated from respiratory samples.  ,  Vi khuẩn Rhodococcus bronchialis là một loài vi khuẩn đã được phân lập từ các mẫu hô hấp.,Rhodococcus bronchialis en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary Rhodococcus bronchialis Rhodococcus bronchialis Gordonia bronchialis .,UNOBSERVED,https://medicine.en-academic.com/157900/Rhodococcus_bronchialis,
eminence of scapha,lồi thuyền,n,  The eminence of scapha is a longitudinal prominence on the cranial surface of the auricle corresponding to the scapha.  ,  Lồi thuyền là một chỗ lồi dọc trên bề mặt sọ của loa tai tương ứng với thuyền tai.,eminence of scapha en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary eminence of scapha eminence of scapha eminentia scaphae .,"Y học lồi thuyền Lấy từ « http://tratu.soha.vn/dict/en_vn/Eminentiascaphae » Từ điển : Y học tác giả Nguyen Tuan Huy , Admin Tìm thêm với Google.com : Tìm từ này tại : NHÀ TÀI TRỢ Cơ quan chủ quản: Công ty cổ phần Truyền thông Việt Nam.",https://medicine.en-academic.com/120740/eminence_of_scapha,http://tratu.soha.vn/dict/en_vn/Eminentiascaphae
isopyknosis,kết đặc đều,n,"  The cell nucleus showed signs of isopyknosis, indicating irreversible cell damage.  ","  Nhân tế bào cho thấy các dấu hiệu kết đặc đều, cho thấy tổn thương tế bào không thể phục hồi.","ISOPYKNOSIS Definition & Meaning | Merriam-Webster Medical ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!",UNOBSERVED,https://www.merriam-webster.com/medical/isopyknosis,
spermioteleosis,quá trình phát triển nguyên bào tinh,n,"  Spermioteleosis, another term for spermiogenesis, describes the intricate sequence of morphological and physiological transformations that a haploid spermatid undergoes to become a fully functional spermatozoon capable of fertilization.  ","  Quá trình phát triển nguyên bào tinh, một thuật ngữ khác của sự hình thành tinh trùng, mô tả chuỗi biến đổi hình thái và sinh lý phức tạp mà một tiền tinh trùng đơn bội trải qua để trở thành một tinh trùng có chức năng hoàn chỉnh, có khả năng thụ tinh.","A Single-Cell Landscape of Spermioteleosis in Mice and Pigs - PubMed Clipboard, , and several other advanced features are temporarily unavailable.",UNOBSERVED,https://pubmed.ncbi.nlm.nih.gov/38607002/,
myonymy,danh pháp cơ,n, Myonymy refers to the system of nomenclature used for muscles. ,Danh pháp cơ là hệ thống danh pháp được sử dụng cho các cơ.,"myonymy - Wiktionary, the free dictionary From Wiktionary, the free dictionary English [ edit ] Etymology [ edit ] From myo- +‎ -onymy .","Bài viết này sẽ hướng dẫn bạn các quy tắc danh pháp cơ bản, cùng với nhiều ví dụ minh họa, giúp việc học trở nên dễ dàng và thú vị hơn.",https://en.m.wiktionary.org/wiki/myonymy,https://rdsic.edu.vn/blog/hoa/danh-phap-cac-hop-chat-vo-co-tong-quan-va-ung-dung-trong-hoa-hoc-vi-cb.html
folium,lá,n,"  Each folium of the cerebellum is a thin, leaf-like gyrus.  ","  Mỗi lá của tiểu não là một hồi não mỏng, giống như lá.","FOLIUM Definition & Meaning | Merriam-Webster Medical ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!","Nguyễn Thị Việt Hà / Facebook Lần đầu đến Lá Trà đã cảm nhận được sự khác biệt sau khi được bấm huyệt trị liệu bệnh thoái hoá đốt sống cổ, dịch vụ tốt, BS có chuyên môn cao, đội ngũ KTV chuyên nghiệp, nhiệt tình, vui vẻ.",https://www.merriam-webster.com/medical/folium,https://www.latraspa.com/
ferropexy,cố định sắt,n, Ferropexy describes the process by which iron is fixed or bound within tissues. , Cố định sắt (Ferropexy) mô tả quá trình sắt được cố định hoặc liên kết trong các mô.,"The utility model is achieved through the following technical solutions: A kind of medical diagnosis film viewing light box, comprise casing, the lower end of described casing is provided with supporting leg, and the lower end of described supporting leg is provided with ferropexy seat, and the lower end of described ferropexy seat is provided with groove first, in described groove first, T-shaped magnet is installed, shaft collar is installed in the lower end of described T-shaped magnet, and the upper end of described shaft collar is provided with groove second, and the lower end of T-shaped magnet is also arranged in groove second, shaft collar is provided with multiple fixed orifice, and described fixed orifice is rounded to be distributed on shaft collar.","Đai nhựa cố định sắt 2,5 đến 2,8 mm sử dụng để cố định sắt trong khuôn đúc lan can, con tiện, lộc bình, hàng rào ly tâm - Ngạc Nguyễn Shop Skip to content Đai nhựa cố định sắt 2,5 đến 2,8 mm sử dụng để cố định sắt trong khuôn đúc lan can, con tiện, lộc bình, hàng rào ly tâm 15.000 ₫ còn 10000 hàng Danh mục: khuôn lan can Mô tả Thông tin bổ sung Đánh giá Đai nhựa cố định sắt 2,5 đến 2,8 mm sử dụng để cố định sắt trong khuôn đúc lan can, con tiện, lộc bình, hàng rào ly tâm Mô tả sản phẩm: Đai nhựa cố định sắt là sản phẩm chuyên dụng giúp cố định sắt trong các khuôn đúc lan can, con tiện, lộc bình, và hàng rào bê tông ly tâm.",https://patents.google.com/patent/CN204101818U/en,https://ngacnguyenshop.com/san-pham/dai-nhua-co-dinh-sat-25-den-28-mm-su-dung-de-co-dinh-sat-trong-khuon-duc-lan-can-con-tien-loc-binh-hang-rao-ly-tam/
proteinemia,protit huyết,,"  Hypoproteinemia, or low protein in the blood, can lead to edema.  ","  Giảm protit huyết, hay nồng độ protein trong máu thấp, có thể dẫn đến phù nề.",Add to Collections Add to My Bibliography Your saved Create a file for external citation management software Your RSS Feed Display options Format Abstract PubMed PMID Abstract PSTPIP1-associated myeloid-related proteinemia inflammatory syndrome caused by mutations in PSTPIP1 is a rare inflammatory disorder that can be easily misdiagnosed.,"Đặc tính biến đổi các chỉ tiêu sinh hóa protit huyết thanh, kiểu hemoglobin máu lợn lang hồng và các đời lai F1, F2 và F3 lanđrace x lang hồng 1978 — LUẬN ÁN TIẾN SĨ - Cơ sở dữ liệu toàn văn Mudim v0.8 Tắt VNI Telex Viqr Tổng hợp Tự động Chính tả Bỏ dấu kiểu mới [ Bật/Tắt Ẩn/Hiện ]",https://pubmed.ncbi.nlm.nih.gov/34047005/,http://luanan.nlv.gov.vn/luanan?a=d&d=TTiGQyWnzARm1978
nonviable,không sống được,a,  A fetus may be considered nonviable if it has severe congenital abnormalities incompatible with life outside the womb.  ,  Thai nhi có thể được coi là không sống được nếu có những bất thường bẩm sinh nghiêm trọng không tương thích với sự sống ngoài tử cung.,Nonviable tissue significantly impacts test results because damaged or dead cells do not accurately represent the true condition of the tissue or disease.,"Mặc dù ban đầu người ta nghĩ rằng Trevor sẽ không sống được quá 12 tuần, nhưng cậu bé đã sống được thêm 12 năm nữa.",https://www.mypathologyreport.ca/pathology-dictionary/nonviable/,https://kenh14.vn/cau-be-sinh-ra-khong-co-nao-da-song-cuoc-doi-nhu-the-nao-215251408135538332.chn
tetaniform,dạng uốn ván,a,"  Certain neurological disorders or exposure to specific toxins can induce a tetaniform state characterized by muscle rigidity and spasms, mimicking some aspects of true tetanus but arising from different pathophysiological mechanisms.  ","  Một số rối loạn thần kinh hoặc tiếp xúc với các chất độc cụ thể có thể gây ra trạng thái dạng uốn ván đặc trưng bởi co cứng cơ và co thắt, bắt chước một số khía cạnh của bệnh uốn ván thực sự nhưng phát sinh từ các cơ chế bệnh sinh khác nhau.","TETANIFORM Definition & Meaning - Merriam-Webster ✨📕 The NEW Collegiate Dictionary, 12th Edition Over 5,000 words added — Learn More!","Uốn ván tổng quát là dạng uốn ván phổ biến nhất, xảy ra trong khoảng 80% trường hợp.",https://www.merriam-webster.com/dictionary/tetaniform,https://trungtamthuoc.com/bai-viet/benh-uon-van
tetanus toxin,độc tố uốn ván,n,"  The extreme potency of tetanus toxin is due to its specific action on the central nervous system, where it irreversibly binds to presynaptic nerve terminals and blocks the release of inhibitory neurotransmitters, leading to disinhibition of motor neurons.  ","  Độc lực cực mạnh của độc tố uốn ván là do tác động đặc hiệu của nó lên hệ thần kinh trung ương, nơi nó gắn không thuận nghịch vào các đầu dây thần kinh tiền synap và ngăn chặn sự giải phóng các chất dẫn truyền thần kinh ức chế, dẫn đến sự giải ức chế của các nơron vận động.",Tetanus toxin Tetanus toxin acts in the sympathetic nervous system and at several sites within the central nervous system: Brain Peripheral motor end plates Spinal cord Tetanus toxin causes the typical clinical manifestations of tetanus by interfering with the release of neurotransmitters and blocking inhibitor impulses.,Độc tố uốn ván có thể gây co thắt cơ dữ dội và có nguy cơ gây tử vong nếu không được điều trị kịp thời.,https://www.cdc.gov/tetanus/hcp/clinical-overview/index.html,https://nhathuoclongchau.com.vn/bai-viet/doc-to-uon-van-nguy-co-tiem-an-va-cach-phong-ngua-hieu-qua.html
neonatal macrosomia,thai to,n, Neonatal macrosomia refers to a newborn who is significantly larger than average. , Thai to đề cập đến một trẻ sơ sinh lớn hơn đáng kể so với mức trung bình.,Neonatal macrosomia has a strong ethnic predisposition affecting up to 50% of Latino and Native American pregnant women versus 19% of African–American pregnant women Macrosomia is characteristic of infants of diabetic mothers who were hyperglycemic during pregnancy.,"Thai medical translations are required for referral letters from doctors, reports for patient's health, medical or health-related products and services, and re purposes.",https://www.sciencedirect.com/topics/pharmacology-toxicology-and-pharmaceutical-science/macrosomia,https://perthtranslation.com/Thai-translation/Thai-medical-translation/
vasoparesis,liệt nhẹ thần kinh vận mạch,n," Guillain-Barré syndrome, an autoimmune disorder affecting peripheral nerves, can sometimes involve autonomic dysfunction leading to vasoparesis, characterized by a partial paralysis or weakness of vascular smooth muscle control, resulting in fluctuating blood pressure. "," Hội chứng Guillain-Barré, một rối loạn tự miễn ảnh hưởng đến các dây thần kinh ngoại biên, đôi khi có thể liên quan đến rối loạn chức năng tự chủ dẫn đến liệt nhẹ thần kinh vận mạch, đặc trưng bởi liệt hoặc yếu một phần khả năng kiểm soát cơ trơn mạch máu, dẫn đến huyết áp dao động.",vasoparesis en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary vasoparesis vasoparesis A mild degree of vasoparalysis .,UNOBSERVED,https://medicine.en-academic.com/49600/vasoparesis,
Karwinskia,một chi Tảo,n," Some species of Karwinskia, such as coyotillo, contain toxins that can cause neurological damage. "," Một số loài thuộc một chi Tảo (Karwinskia), chẳng hạn như coyotillo, chứa độc tố có thể gây tổn thương thần kinh.",Karwinskia as a Potential Antineoplastic Agent Piñeyro-López et al.,"Chlorella là một chi tảo đơn bào chứa nhiều các thành phần dinh dưỡng như protein, chất béo, carbohydrate, chất xơ, diệp lục, vitamin và các khoáng chất khác.",https://pmc.ncbi.nlm.nih.gov/articles/PMC7730948/,https://japana.vn/chlorella-la-gi-news-6433.jp
patellofemoral joint,khớp bánh chè đùi,n, Pain originating from the patellofemoral joint is a common complaint among athletes. , Đau bắt nguồn từ Khớp bánh chè đùi là một phàn nàn phổ biến ở các vận động viên.,"Patellofemoral Joint: Structure, Function, Conditions What Is the Patellofemoral Joint?",Phẫu thuật thay khớp bánh chè đùi là một thủ thuật phẫu thuật có thể được thực hiện để điều trị đau đầu gối do viêm khớp.,https://www.verywellhealth.com/what-is-the-patellofemoral-joint-3120364,https://www.jointreplacementhawaii.com/vi/phau-thuat-thay-khop-banh-che-dui/
vagogram,thần kinh phế vị đồ,n," A vagogram, an older term for a recording or assessment of vagal nerve activity or tone, might have involved measuring physiological parameters influenced by the vagus nerve, such as heart rate variability or gastrointestinal motility, to infer its functional state. "," Thần kinh phế vị đồ, một thuật ngữ cũ hơn để chỉ việc ghi lại hoặc đánh giá hoạt động hoặc trương lực của dây thần kinh phế vị, có thể bao gồm việc đo các thông số sinh lý bị ảnh hưởng bởi dây thần kinh phế vị, chẳng hạn như sự thay đổi nhịp tim hoặc nhu động đường tiêu hóa, để suy ra trạng thái chức năng của nó.",vagogram en-academic.com EN RU DE ES FR Remember this site Embed dictionaries into your website Academic Dictionaries and s Medical dictionary Interpretations Medical dictionary vagogram vagogram va · go · gram [ vagus + - gram ] a tracing showing the electrical variations of the vagus nerve ; called also electrovagogram .,Nghĩa của từ Thần kinh phế vị đồ - Từ điển Việt - Anh Từ ngày 06/12/2011 Tra từ sử dụng VietId đăng nhập.,https://medicine.en-academic.com/171791/vagogram,http://tratu.soha.vn/dict/vn_en/Th%E1%BA%A7n_kinh_ph%E1%BA%BF_v%E1%BB%8B_%C4%91%E1%BB%93
