English,Vietnamese,POS,English Sentence,Vietnamese Sentence,English example,Vietnamese example
isopyknosis,kết đặc đều,n,"  The cell nucleus showed signs of isopyknosis, indicating irreversible cell damage.  ","  Nhân tế bào cho thấy các dấu hiệu kết đặc đều, cho thấy tổn thương tế bào không thể phục hồi.",UNOBSERVED,UNOBSERVED
spermioteleosis,quá trình phát triển nguyên bào tinh,n,"  Spermioteleosis, another term for spermiogenesis, describes the intricate sequence of morphological and physiological transformations that a haploid spermatid undergoes to become a fully functional spermatozoon capable of fertilization.  ","  Quá trình phát triển nguyên bào tinh, một thuật ngữ khác của sự hình thành tinh trùng, mô tả chuỗi biến đổi hình thái và sinh lý phức tạp mà một tiền tinh trùng đơn bội trải qua để trở thành một tinh trùng có chức năng hoàn chỉnh, có khả năng thụ tinh.",UNOBSERVED,UNOBSERVED
myonymy,danh pháp cơ,n, Myonymy refers to the system of nomenclature used for muscles. ,Danh pháp cơ là hệ thống danh pháp được sử dụng cho các cơ.,UNOBSERVED,UNOBSERVED
folium,lá,n,"  Each folium of the cerebellum is a thin, leaf-like gyrus.  ","  Mỗi lá của tiểu não là một hồi não mỏng, giống như lá.",UNOBSERVED,UNOBSERVED
ferropexy,cố định sắt,n, Ferropexy describes the process by which iron is fixed or bound within tissues. , Cố định sắt (Ferropexy) mô tả quá trình sắt được cố định hoặc liên kết trong các mô.,UNOBSERVED,UNOBSERVED
proteinemia,protit huyết,,"  Hypoproteinemia, or low protein in the blood, can lead to edema.  ","  Giảm protit huyết, hay nồng độ protein trong máu thấp, có thể dẫn đến phù nề.",UNOBSERVED,UNOBSERVED
nonviable,không sống được,a,  A fetus may be considered nonviable if it has severe congenital abnormalities incompatible with life outside the womb.  ,  Thai nhi có thể được coi là không sống được nếu có những bất thường bẩm sinh nghiêm trọng không tương thích với sự sống ngoài tử cung.,UNOBSERVED,UNOBSERVED
tetaniform,dạng uốn ván,a,"  Certain neurological disorders or exposure to specific toxins can induce a tetaniform state characterized by muscle rigidity and spasms, mimicking some aspects of true tetanus but arising from different pathophysiological mechanisms.  ","  Một số rối loạn thần kinh hoặc tiếp xúc với các chất độc cụ thể có thể gây ra trạng thái dạng uốn ván đặc trưng bởi co cứng cơ và co thắt, bắt chước một số khía cạnh của bệnh uốn ván thực sự nhưng phát sinh từ các cơ chế bệnh sinh khác nhau.",UNOBSERVED,UNOBSERVED
tetanus toxin,độc tố uốn ván,n,"  The extreme potency of tetanus toxin is due to its specific action on the central nervous system, where it irreversibly binds to presynaptic nerve terminals and blocks the release of inhibitory neurotransmitters, leading to disinhibition of motor neurons.  ","  Độc lực cực mạnh của độc tố uốn ván là do tác động đặc hiệu của nó lên hệ thần kinh trung ương, nơi nó gắn không thuận nghịch vào các đầu dây thần kinh tiền synap và ngăn chặn sự giải phóng các chất dẫn truyền thần kinh ức chế, dẫn đến sự giải ức chế của các nơron vận động.",UNOBSERVED,UNOBSERVED
neonatal macrosomia,thai to,n, Neonatal macrosomia refers to a newborn who is significantly larger than average. , Thai to đề cập đến một trẻ sơ sinh lớn hơn đáng kể so với mức trung bình.,UNOBSERVED,UNOBSERVED
vasoparesis,liệt nhẹ thần kinh vận mạch,n," Guillain-Barré syndrome, an autoimmune disorder affecting peripheral nerves, can sometimes involve autonomic dysfunction leading to vasoparesis, characterized by a partial paralysis or weakness of vascular smooth muscle control, resulting in fluctuating blood pressure. "," Hội chứng Guillain-Barré, một rối loạn tự miễn ảnh hưởng đến các dây thần kinh ngoại biên, đôi khi có thể liên quan đến rối loạn chức năng tự chủ dẫn đến liệt nhẹ thần kinh vận mạch, đặc trưng bởi liệt hoặc yếu một phần khả năng kiểm soát cơ trơn mạch máu, dẫn đến huyết áp dao động.",UNOBSERVED,UNOBSERVED
Karwinskia,một chi Tảo,n," Some species of Karwinskia, such as coyotillo, contain toxins that can cause neurological damage. "," Một số loài thuộc một chi Tảo (Karwinskia), chẳng hạn như coyotillo, chứa độc tố có thể gây tổn thương thần kinh.",UNOBSERVED,UNOBSERVED
patellofemoral joint,khớp bánh chè đùi,n, Pain originating from the patellofemoral joint is a common complaint among athletes. , Đau bắt nguồn từ Khớp bánh chè đùi là một phàn nàn phổ biến ở các vận động viên.,UNOBSERVED,UNOBSERVED
vagogram,thần kinh phế vị đồ,n," A vagogram, an older term for a recording or assessment of vagal nerve activity or tone, might have involved measuring physiological parameters influenced by the vagus nerve, such as heart rate variability or gastrointestinal motility, to infer its functional state. "," Thần kinh phế vị đồ, một thuật ngữ cũ hơn để chỉ việc ghi lại hoặc đánh giá hoạt động hoặc trương lực của dây thần kinh phế vị, có thể bao gồm việc đo các thông số sinh lý bị ảnh hưởng bởi dây thần kinh phế vị, chẳng hạn như sự thay đổi nhịp tim hoặc nhu động đường tiêu hóa, để suy ra trạng thái chức năng của nó.",UNOBSERVED,UNOBSERVED
supergroup,liên nhóm,n,"  The various cytokines can be organized into functional supergroup families, such as interleukins or interferons, based on their structural similarities and biological roles. ","  Các cytokine khác nhau có thể được tổ chức thành các họ liên nhóm chức năng, chẳng hạn như interleukin hoặc interferon, dựa trên sự tương đồng về cấu trúc và vai trò sinh học của chúng.",UNOBSERVED,UNOBSERVED
desquamative inflammatory vaginitis,viêm âm hộ bong vảy,n,  Desquamative inflammatory vaginitis is an uncommon condition causing vaginal discharge and irritation.  ,  Viêm âm đạo bong vảy là một tình trạng không phổ biến gây tiết dịch và kích ứng âm đạo.,UNOBSERVED,UNOBSERVED
ejection,bài tiết,n, The kidney's primary function is the ejection of waste products from the blood to form urine. , Chức năng chính của thận là bài tiết các sản phẩm thải từ máu để tạo thành nước tiểu.,UNOBSERVED,UNOBSERVED
euthanasia,chết êm ái,n," In some jurisdictions, physician-assisted euthanasia is legally permitted under strict guidelines, allowing terminally ill patients to request medical assistance in achieving a peaceful death. "," Ở một số khu vực pháp lý, chết êm ái có sự hỗ trợ của bác sĩ được pháp luật cho phép theo các hướng dẫn nghiêm ngặt, cho phép bệnh nhân giai đoạn cuối yêu cầu hỗ trợ y tế để đạt được một cái chết thanh thản.",UNOBSERVED,UNOBSERVED
junctura,khớp,n," A junctura, or articulation, allows for movement between bones. "," Một khớp, hay một sự nối, cho phép sự chuyển động giữa các xương.",UNOBSERVED,UNOBSERVED
axioincisal,trục răng cửa,,  The axioincisal line angle is the junction of the axial wall and the incisal edge in a prepared anterior tooth.  ,  Góc đường trục răng cửa là điểm giao nhau của thành trục và rìa cắn trong một răng cửa đã được chuẩn bị.,UNOBSERVED,UNOBSERVED
irrespirable,ngột ngạt,a,  The smoke-filled room was irrespirable and suffocating.  ,  Căn phòng đầy khói ngột ngạt và làm nghẹt thở.,UNOBSERVED,UNOBSERVED
perisigmoiditis,viêm quanh quai xích ma,n," Diverticulitis complicated by localized inflammation around the sigmoid colon is referred to as perisigmoiditis, which can sometimes lead to abscess formation or perforation if not treated promptly. "," Viêm túi thừa phức tạp do viêm cục bộ quanh đại tràng sigma được gọi là viêm quanh quai xích ma, đôi khi có thể dẫn đến hình thành áp xe hoặc thủng nếu không được điều trị kịp thời.",UNOBSERVED,UNOBSERVED
brain hemorrhage,xuất huyết não,,  A brain hemorrhage is bleeding in or around the brain.  ,  Xuất huyết não là tình trạng chảy máu trong hoặc xung quanh não.,UNOBSERVED,UNOBSERVED
angioscope,soi mạch,n,An angioscope is a type of endoscope designed for visualizing the interior of blood vessels.,Soi mạch là một loại ống nội soi được thiết kế để hình dung bên trong các mạch máu.,UNOBSERVED,UNOBSERVED
manipulation,vận hành,n, Proper manipulation of the surgical instruments is crucial for the success of the operation. , Việc vận hành đúng các dụng cụ phẫu thuật là rất quan trọng cho sự thành công của ca mổ.,UNOBSERVED,UNOBSERVED
brachycephalism,ngắn đầu,n, Brachycephalism is the condition of having a skull that is relatively broad and short. ,  Ngắn đầu là tình trạng sọ tương đối rộng và ngắn.,UNOBSERVED,UNOBSERVED
prophylactic,dự phòng,"n,a",  A prophylactic dose of antibiotics was given before surgery to prevent infection.  ,  Một liều kháng sinh dự phòng đã được cho trước khi phẫu thuật để ngăn ngừa nhiễm trùng.,UNOBSERVED,UNOBSERVED
Sotos syndrome,hội chứng Sotos,n," Sotos syndrome, also known as cerebral gigantism, is a rare genetic disorder characterized by excessive physical growth during the first few years of life, distinctive facial features, and developmental delay of varying degrees. "," Hội chứng Sotos, còn được gọi là bệnh khổng lồ não, là một rối loạn di truyền hiếm gặp đặc trưng bởi sự tăng trưởng thể chất quá mức trong vài năm đầu đời, các đặc điểm khuôn mặt đặc biệt và sự chậm phát triển ở các mức độ khác nhau.",UNOBSERVED,UNOBSERVED
carbon dioxide snow,tuyết CO,n, Carbon dioxide snow is used in cryotherapy. , Tuyết CO2 được sử dụng trong liệu pháp lạnh.,UNOBSERVED,UNOBSERVED
anosigmoidoscopy,soi hậu môn trực kết tràng xích ma,,  Anosigmoidoscopy is a procedure used to look inside the sigmoid colon and rectum.  ,  Soi hậu môn trực kết tràng xích ma là một thủ thuật được sử dụng để nhìn vào bên trong đại tràng xích ma và trực tràng.,UNOBSERVED,UNOBSERVED
orinotherapy,liệu pháp núi cao,n,  Some individuals seek orinotherapy for its purported benefits in treating respiratory conditions at high altitudes.  ,  Một số cá nhân tìm đến liệu pháp núi cao vì những lợi ích được cho là của nó trong việc điều trị các bệnh hô hấp ở vùng cao.,UNOBSERVED,UNOBSERVED
incarnatio,mọc thụt vào,Latin,"  Incarnatio unguis, or an ingrown toenail, can lead to significant pain and secondary infection if not properly managed.  ","  Tình trạng móng mọc thụt vào, hay còn gọi là móng quặm, có thể dẫn đến đau đớn nhiều và nhiễm trùng thứ phát nếu không được xử lý đúng cách.",UNOBSERVED,UNOBSERVED
aortic dissection,bóc tách động mạch chủ,n, An aortic dissection is a serious condition in which the inner layer of the aorta tears. , Bóc tách động mạch chủ là một tình trạng nghiêm trọng trong đó lớp trong của động mạch chủ bị rách.,UNOBSERVED,UNOBSERVED
pedomorphism,hình thái ấu trĩ,n,  Pedomorphism describes the evolutionary retention of juvenile characteristics in adult descendants.  ,  Hình thái ấu trĩ mô tả sự duy trì các đặc điểm của con non trong quá trình tiến hóa ở các thế hệ con cháu trưởng thành.,UNOBSERVED,UNOBSERVED
physiognomy,xem tướng,n,"  While physiognomy, the assessment of character from outward appearance, is now considered a pseudoscience, it was once a popular practice.  ","  Mặc dù xem tướng, tức việc đánh giá tính cách từ vẻ bề ngoài, ngày nay được coi là một môn ngụy khoa học, nhưng nó đã từng là một thực hành phổ biến.",UNOBSERVED,UNOBSERVED
kinetoscopy,chụp cử động cơ thể,n, Kinetoscopy is the examination or recording of motion. , Chụp cử động cơ thể (Kinetoscopy) là việc kiểm tra hoặc ghi lại chuyển động.,UNOBSERVED,UNOBSERVED
vitrification,dịch kính hóa,n,"  Cryopreservation techniques often involve vitrification, a process of rapid cooling that transforms a liquid into a glass-like amorphous solid, preventing the formation of damaging ice crystals in biological samples.  ","  Các kỹ thuật bảo quản lạnh thường bao gồm dịch kính hóa, một quá trình làm lạnh nhanh chóng biến chất lỏng thành chất rắn vô định hình giống như thủy tinh, ngăn chặn sự hình thành các tinh thể đá gây hại trong các mẫu sinh học.",UNOBSERVED,UNOBSERVED
facioplegia,liệt mặt,n," Facioplegia, or facial paralysis, can result from various causes, including nerve damage or stroke. "," Liệt mặt, hay tê liệt mặt, có thể do nhiều nguyên nhân khác nhau, bao gồm tổn thương dây thần kinh hoặc đột quỵ.",UNOBSERVED,UNOBSERVED
mass absorption coefficient,hệ số hấp thụ khối lượng,n,  The mass absorption coefficient quantifies how readily a material absorbs X-rays or gamma rays per unit mass.  ,  Hệ số hấp thụ khối lượng định lượng mức độ dễ dàng mà một vật liệu hấp thụ tia X hoặc tia gamma trên một đơn vị khối lượng.,UNOBSERVED,UNOBSERVED
colloidopexy,cố định keo,n, Colloidopexy is the fixation of a colloid substance in the tissues. ,Cố định keo là sự cố định một chất keo trong các mô.,UNOBSERVED,UNOBSERVED
anergic,vô ứng,a, An anergic state means the immune system fails to mount a response to a specific antigen. , Trạng thái vô ứng có nghĩa là hệ thống miễn dịch không thể tạo ra phản ứng với một kháng nguyên cụ thể.,UNOBSERVED,UNOBSERVED
electrocardiogram,điện tâm đồ,n, The doctor ordered an electrocardiogram to check for any abnormalities in the patient's heart rhythm. , Bác sĩ đã yêu cầu làm điện tâm đồ để kiểm tra bất kỳ sự bất thường nào trong nhịp tim của bệnh nhân.,UNOBSERVED,UNOBSERVED
truncate,xén,a, The genetic data was xén to remove low-quality reads before analysis. , Dữ liệu di truyền đã được xén để loại bỏ các đoạn đọc chất lượng thấp trước khi phân tích.,UNOBSERVED,UNOBSERVED
anabiotic,hồi sinh,a, The anabiotic state allows tardigrades to withstand extreme temperatures and dehydration. , Trạng thái hồi sinh cho phép gấu nước chịu được nhiệt độ khắc nghiệt và tình trạng mất nước.,UNOBSERVED,UNOBSERVED
pluripotent,đa năng,a,  Pluripotent stem cells have the ability to differentiate into any of the three primary germ layers.  ,  Tế bào gốc đa năng có khả năng biệt hóa thành bất kỳ lớp nào trong ba lớp mầm chính.,UNOBSERVED,UNOBSERVED
overstrain,cố gắng,n,  Mental overstrain can lead to burnout and anxiety.  ,  Cố gắng quá mức về tinh thần có thể dẫn đến kiệt sức và lo lắng.,UNOBSERVED,UNOBSERVED
pontomesencephalic,cầu não não giữa,,  The pontomesencephalic junction is the boundary between the pons and the midbrain.  ,  Chỗ nối cầu não não giữa là ranh giới giữa cầu não và não giữa.,UNOBSERVED,UNOBSERVED
algesia,cảm giác quá mẫn,n, Neuropathic pain often involves algesia even to light touch. ,Đau thần kinh thường liên quan đến cảm giác quá mẫn ngay cả khi chạm nhẹ.,UNOBSERVED,UNOBSERVED
eschar,loét hoại tử,n," A full-thickness burn often results in the formation of a dry, leathery eschar, which is composed of dead tissue and needs to be debrided to promote wound healing. "," Một vết bỏng toàn bộ độ dày thường dẫn đến sự hình thành một loét hoại tử khô, dai như da, bao gồm mô chết và cần được cắt lọc để thúc đẩy quá trình lành vết thương.",UNOBSERVED,UNOBSERVED
androgen deprivation therapy,liệu pháp ức chế androgen,n,"Long-term androgen deprivation therapy can lead to side effects such as hot flashes, loss of libido, and osteoporosis.","Liệu pháp ức chế androgen dài hạn có thể dẫn đến các tác dụng phụ như bốc hỏa, mất ham muốn tình dục và loãng xương.",UNOBSERVED,UNOBSERVED
electroshock treatment,liệu pháp chấn động điện để chữa trị các rối loạn tâm thần,n,"  Electroshock treatment, formally known as electroconvulsive therapy, remains a treatment option for certain severe psychiatric disorders.  ","  Liệu pháp chấn động điện để chữa trị các rối loạn tâm thần, chính thức được gọi là liệu pháp co giật điện, vẫn là một lựa chọn điều trị cho một số rối loạn tâm thần nghiêm trọng.",UNOBSERVED,UNOBSERVED
parabiotic,đời sống ghép,a, Parabiotic experiments have provided insights into the roles of circulating factors in various physiological processes. , Các thí nghiệm về đời sống ghép đã cung cấp những hiểu biết sâu sắc về vai trò của các yếu tố lưu thông trong các quá trình sinh lý khác nhau.,UNOBSERVED,UNOBSERVED
terebrant,nhói,a,"  The patient described a terebrant, or boring, pain deep within the bone, which raised concerns about a possible neoplastic or infectious process. ","  Bệnh nhân mô tả một cơn đau nhói, hay đau như dùi đâm, sâu bên trong xương, điều này làm dấy lên lo ngại về một quá trình ung thư hoặc nhiễm trùng có thể xảy ra.",UNOBSERVED,UNOBSERVED
transplantar,qua gan bàn chân,a,"  A transplanter needle, designed for biopsies of the sole of the foot, must be robust enough to penetrate the thick plantar skin while minimizing patient discomfort. ","  Kim sinh thiết qua gan bàn chân, được thiết kế để lấy sinh thiết lòng bàn chân, phải đủ chắc chắn để xuyên qua lớp da dày ở lòng bàn chân đồng thời giảm thiểu sự khó chịu cho bệnh nhân.",UNOBSERVED,UNOBSERVED
imagines,thành trùng,n," The imagines, or adult insects, emerged from their pupal cases. "," Các thành trùng, hay côn trùng trưởng thành, chui ra khỏi vỏ nhộng của chúng.",UNOBSERVED,UNOBSERVED
bacciform,hình quả mọng,a,"The small, rounded lesions had a bacciform appearance.","Các tổn thương nhỏ, tròn có dạng hình quả mọng.",UNOBSERVED,UNOBSERVED
evasion,lý luận lẫn,," The patient's speech was characterized by evasion, as he avoided answering direct questions about his symptoms. "," Lời nói của bệnh nhân được đặc trưng bởi lý luận lẫn, vì ông tránh trả lời các câu hỏi trực tiếp về các triệu chứng của mình.",UNOBSERVED,UNOBSERVED
macule,vết,n,  Freckles are a common example of a macule.  ,  Tàn nhang là một ví dụ phổ biến của vết.,UNOBSERVED,UNOBSERVED
rotexion,xoay nghiêng,n,"  Abnormal rotexion patterns of the lower limbs during gait, such as excessive internal rotation coupled with varus tilting at the ankle, can contribute to chronic musculoskeletal pain and joint dysfunction.  ","  Các kiểu xoay nghiêng bất thường của chi dưới trong quá trình đi lại, chẳng hạn như xoay trong quá mức kết hợp với nghiêng vào trong ở mắt cá chân, có thể góp phần gây đau cơ xương khớp mạn tính và rối loạn chức năng khớp.",UNOBSERVED,UNOBSERVED
ethologist,tập tính,n, The ethologist observed the complex social interactions within the primate colony. , Nhà tập tính học đã quan sát các tương tác xã hội phức tạp trong đàn linh trưởng.,UNOBSERVED,UNOBSERVED
bromum,brom,n, Bromum is the Latin name for bromine. ,  Brom là tên Latin của brom.,UNOBSERVED,UNOBSERVED
axillary hairs,lông nách,n," The axillary fossa contains important structures including the axillary artery, vein, nerves of the brachial plexus, and lymph nodes. "," Hố nách chứa các cấu trúc quan trọng bao gồm động mạch nách, tĩnh mạch nách, các dây thần kinh của đám rối cánh tay và các hạch bạch huyết.",UNOBSERVED,UNOBSERVED
circulatory,tuần hoàn,a,"  The circulatory system is responsible for transporting blood, oxygen, and nutrients throughout the body.  ","  Hệ tuần hoàn chịu trách nhiệm vận chuyển máu, oxy và chất dinh dưỡng đi khắp cơ thể.",UNOBSERVED,UNOBSERVED
periungual telangiectasia,giãn mạch quanh móng,n," Periungual telangiectasia, characterized by dilated small blood vessels around the nail folds, is a common cutaneous manifestation in patients with connective tissue diseases such as scleroderma or dermatomyositis. "," Giãn mạch quanh móng, đặc trưng bởi các mạch máu nhỏ giãn ra xung quanh nếp gấp móng, là một biểu hiện da phổ biến ở những bệnh nhân mắc các bệnh mô liên kết như xơ cứng bì hoặc viêm da cơ.",UNOBSERVED,UNOBSERVED
citrated,citrat,a, Citrated blood is blood to which a citrate anticoagulant has been added to prevent clotting. , Máu đã được citrat hóa là máu đã được thêm chất chống đông citrat để ngăn ngừa đông máu.,UNOBSERVED,UNOBSERVED
gonioscopy,soi góc tiền phòng,n,  Gonioscopy is performed to assess the iridocorneal angle and diagnose types of glaucoma.  ,  Soi góc tiền phòng được thực hiện để đánh giá góc mống mắt-giác mạc và chẩn đoán các loại bệnh tăng nhãn áp.,UNOBSERVED,UNOBSERVED
mobilometer,đo độ đặc,n,  A mobilometer is an instrument used to measure the consistency or flow properties of semi-solid materials.  ,  Đo độ đặc là một dụng cụ được sử dụng để đo độ đặc hoặc các đặc tính dòng chảy của vật liệu bán rắn.,UNOBSERVED,UNOBSERVED
somatization,cơ thể bệnh hóa,n," Somatization is a psychological process whereby emotional distress or psychological conflict is expressed through physical symptoms, often without a discernible organic cause, and is a core feature of somatoform disorders. "," Cơ thể bệnh hóa là một quá trình tâm lý theo đó sự đau khổ về cảm xúc hoặc xung đột tâm lý được biểu hiện thông qua các triệu chứng thể chất, thường không có nguyên nhân hữu cơ rõ ràng, và là một đặc điểm cốt lõi của các rối loạn dạng cơ thể.",UNOBSERVED,UNOBSERVED
renal fusion,dung hợp thận,n," Renal fusion anomalies, such as a horseshoe kidney where the lower poles of the kidneys are joined, occur during fetal development and may sometimes be associated with other congenital abnormalities or an increased risk of urinary tract problems. "," Các dị tật dung hợp thận, chẳng hạn như thận hình móng ngựa nơi các cực dưới của thận được nối với nhau, xảy ra trong quá trình phát triển của thai nhi và đôi khi có thể liên quan đến các bất thường bẩm sinh khác hoặc tăng nguy cơ mắc các vấn đề về đường tiết niệu.",UNOBSERVED,UNOBSERVED
myotubular,cơ quản,a," In myotubular myopathy, muscle cells resemble fetal myotubes, with centrally located nuclei. ","Trong bệnh cơ cơ quản , các tế bào cơ giống như các ống cơ của thai nhi, với nhân nằm ở trung tâm.",UNOBSERVED,UNOBSERVED
mnemonic,ký ức,a, Using mnemonic devices can help students remember complex medical terminology. , Sử dụng các thiết bị hỗ trợ ký ức có thể giúp sinh viên ghi nhớ các thuật ngữ y học phức tạp.,UNOBSERVED,UNOBSERVED
incurvation,uống cong vào,n,  Peyronie's disease can cause painful incurvation of the penis during erection.  ,  Bệnh Peyronie có thể gây ra tình trạng uống cong vào gây đau dương vật khi cương cứng.,UNOBSERVED,UNOBSERVED
schistosome,sán máng,n, Schistosomal dysentery is caused by Schistosoma mansoni or Schistosoma japonicum eggs lodging in the intestinal wall.  ,  Hội chứng lỵ do sán máng là do trứng của Schistosoma mansoni hoặc Schistosoma japonicum ký sinh trong thành ruột.,UNOBSERVED,UNOBSERVED
arcus,cột,n,"  The vertebral arcus, or neural arch, protects the spinal cord.  ","  Cột sống, hay cung thần kinh, bảo vệ tủy sống.",UNOBSERVED,UNOBSERVED
